isbn,name,writer,company,pyear,KDC,img
8809333430551,꼬마 니콜라의 여름방학,"로랑 티라르 감독, 발레리 르메르시에 외 출연",콘텐츠게이트,2015,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809333432067,눈의 여왕3 : 눈과 불의 마법대결,"박지윤, 엄상현, 박상훈, 남도형, 이재범 (목소리), 알렉세이 치치린 (감독)",콘텐츠게이트,2017,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809333432470,청년경찰 : 한정판 (2disc) - 초회 한정 72p 포토북 + 엽서 7종,"김주환 감독, 성동일 외 출연",비디오여행,2018,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809334162031,개구쟁이 스머프,라자 고스넬 감독,NA,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809360252911,내 인생의 마지막 변화구,로버트 로렌즈 감독,NA,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809360253581,찰리와 초콜릿 공장 (1disc),"팀 버튼 감독, 조니 뎁 외 출연",워너브라더스,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809360257404,해리포터와 비밀의 방 (2disc) - 한국어 더빙 수록,"크리스 콜럼버스 (감독), 엠마 왓슨, 루퍼트 그린트, 다니엘 래드클리프 (출연)",워너브라더스,2014,NA,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809360258326,레고 무비,크리스토퍼 밀러;필 로드 [공] 감독,NA,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362340197,라이온 킹 (1disc),"롭 민코프 외 감독, 매튜 브로데릭 외 목소리",월트디즈니,2012,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362340906,주먹왕 랄프,리치 무어 감독,NA,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362341217,카 2 - 아웃케이스 없음,"브래드 루이스 외 감독, 마이클 케인 외 목소리",KD미디어(케이디미디어),2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
